2017-02-20 15:00:16 INFO  DispatcherServlet:479 - FrameworkServlet 'mvc-dispatcher': initialization started
2017-02-20 15:00:17 INFO  XmlWebApplicationContext:513 - Refreshing WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Mon Feb 20 15:00:17 IST 2017]; root of context hierarchy
2017-02-20 15:00:17 INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring-config.xml]
2017-02-20 15:00:19 INFO  AutowiredAnnotationBeanPostProcessor:141 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-02-20 15:00:20 INFO  DriverManagerDataSource:133 - Loaded JDBC driver: org.postgresql.Driver
2017-02-20 15:00:21 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {4.0.4.Final}
2017-02-20 15:00:21 INFO  Version:54 - HHH000412: Hibernate Core {4.3.5.Final}
2017-02-20 15:00:21 INFO  Environment:239 - HHH000206: hibernate.properties not found
2017-02-20 15:00:21 INFO  Environment:346 - HHH000021: Bytecode provider name : javassist
2017-02-20 15:00:24 INFO  Dialect:145 - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2017-02-20 15:00:24 INFO  LobCreatorBuilder:123 - HHH000424: Disabling contextual LOB creation as createClob() method threw error : java.lang.reflect.InvocationTargetException
2017-02-20 15:00:25 WARN  RootClass:288 - HHH000038: Composite-id class does not override equals(): com.gsmart.model.CompoundLeaveMaster
2017-02-20 15:00:25 WARN  RootClass:289 - HHH000039: Composite-id class does not override hashCode(): com.gsmart.model.CompoundLeaveMaster
2017-02-20 15:00:25 WARN  RootClass:288 - HHH000038: Composite-id class does not override equals(): com.gsmart.model.CompoundInventory
2017-02-20 15:00:25 WARN  RootClass:289 - HHH000039: Composite-id class does not override hashCode(): com.gsmart.model.CompoundInventory
2017-02-20 15:00:25 WARN  RootClass:288 - HHH000038: Composite-id class does not override equals(): com.gsmart.model.CompoundReportCard
2017-02-20 15:00:25 WARN  RootClass:289 - HHH000039: Composite-id class does not override hashCode(): com.gsmart.model.CompoundReportCard
2017-02-20 15:00:25 WARN  RootClass:288 - HHH000038: Composite-id class does not override equals(): com.gsmart.model.CompoundFeeMaster
2017-02-20 15:00:25 WARN  RootClass:289 - HHH000039: Composite-id class does not override hashCode(): com.gsmart.model.CompoundFeeMaster
2017-02-20 15:00:25 WARN  RootClass:288 - HHH000038: Composite-id class does not override equals(): com.gsmart.model.CompoundAssign
2017-02-20 15:00:25 WARN  RootClass:289 - HHH000039: Composite-id class does not override hashCode(): com.gsmart.model.CompoundAssign
2017-02-20 15:00:25 WARN  RootClass:288 - HHH000038: Composite-id class does not override equals(): com.gsmart.model.RolePermissionCompound
2017-02-20 15:00:25 WARN  RootClass:289 - HHH000039: Composite-id class does not override hashCode(): com.gsmart.model.RolePermissionCompound
2017-02-20 15:00:25 WARN  RootClass:288 - HHH000038: Composite-id class does not override equals(): com.gsmart.model.CompoundLeaveDetails
2017-02-20 15:00:25 WARN  RootClass:289 - HHH000039: Composite-id class does not override hashCode(): com.gsmart.model.CompoundLeaveDetails
2017-02-20 15:00:25 WARN  RootClass:288 - HHH000038: Composite-id class does not override equals(): com.gsmart.model.CompoundBand
2017-02-20 15:00:25 WARN  RootClass:289 - HHH000039: Composite-id class does not override hashCode(): com.gsmart.model.CompoundBand
2017-02-20 15:00:25 WARN  RootClass:288 - HHH000038: Composite-id class does not override equals(): com.gsmart.model.CompoundHoliday
2017-02-20 15:00:25 WARN  RootClass:289 - HHH000039: Composite-id class does not override hashCode(): com.gsmart.model.CompoundHoliday
2017-02-20 15:00:25 WARN  RootClass:288 - HHH000038: Composite-id class does not override equals(): com.gsmart.model.CompoundWeekDays
2017-02-20 15:00:25 WARN  RootClass:289 - HHH000039: Composite-id class does not override hashCode(): com.gsmart.model.CompoundWeekDays
2017-02-20 15:00:25 WARN  RootClass:288 - HHH000038: Composite-id class does not override equals(): com.gsmart.model.CompoundLeave
2017-02-20 15:00:25 WARN  RootClass:289 - HHH000039: Composite-id class does not override hashCode(): com.gsmart.model.CompoundLeave
2017-02-20 15:00:25 WARN  RootClass:288 - HHH000038: Composite-id class does not override equals(): com.gsmart.model.CompoundModules
2017-02-20 15:00:25 WARN  RootClass:289 - HHH000039: Composite-id class does not override hashCode(): com.gsmart.model.CompoundModules
